brand,name,price_old,price_new,seller,rating,number_rating,frete_gratis,full,entrega_rapida,entrega_mesmo_dia,desconto,percentual_desconto
ADIDAS,Tênis Masculino Vl Court Base adidas,349.0,334.0,Por adidas ,5.0,1.0,False,True,True,False,15.0,4.3
WOLFF,6 Taças Wolff Banquet De Champanhe De Cristal Azul 200ml,308.0,199.0,Por Mercado Livre ,5.0,3.0,False,True,True,False,109.0,35.4
CAMISETA INFANTIL,Camiseta Masc/fem Infantil Juvenil Diversas Cores Top Oferta,28.0,25.0,vendedor não identificado,5.0,8.0,False,False,True,False,3.0,10.7
ADIDAS,Tênis Masculino Grand Court Base 2.0 adidas,349.0,285.0,Por adidas ,5.0,17.0,False,True,True,False,64.0,18.3
IGUI,Led Do Iguilux Power (azul) Igui,499.0,324.0,vendedor não identificado,4.7,37.0,False,False,True,False,175.0,35.1
FERRARI,Serra Meia Esquadria Manual Ferrari Serrote Madeira Alumínio,426.0,302.0,Por Bronzautto ,,,False,False,False,False,124.0,29.1
ADIDAS,Tênis adidas Vs Pace 2.0 Color Cloud White/core Black/cloud White - Adulto 43 Br,349.0,281.0,Por adidas ,4.8,262.0,True,True,False,False,68.0,19.5
ADIDAS,Tênis adidas Eclyptix 2000 Ji2843 Color Cloud White/cloud White/cloud White 43 Br,399.0,386.0,Por adidas ,,,False,True,True,False,13.0,3.3
ADIDAS,Moletom Masculino Essential 3 Stripes Com Capuz Preto adidas,349.0,338.0,Por adidas ,,,False,True,True,False,11.0,3.2
ADIDAS,Tênis adidas Courtblock Ji4715 Color Grestr/grethr/warsan,349.0,338.0,Por adidas ,,,False,True,True,False,11.0,3.2
ADIDAS,Camiseta Feminina Run It adidas,349.0,129.0,Por adidas ,4.0,5.0,True,True,False,False,220.0,63.0
TOMMY HILFIGER,Calça Tommy Hilfiger Masculina De Sarja Brooklyn Cáqui Claro,419.0,289.0,Por Secret Outlet ,4.2,18.0,False,False,False,False,130.0,31.0
VIA ANGEL,Kit 2 Pares Chinelo Ortopédico Birk Fivela Via Angel 56.02,132.0,115.0,vendedor não identificado,4.6,450.0,True,True,False,False,17.0,12.9
CROCS,Crocs Sandália Classic Clog Adulto Unissex 10001-410,279.0,265.0,Por Crocs ,4.8,847.0,True,True,False,False,14.0,5.0
FRANCISCO ROUPAS,Kit 2 Calça Masculina Elastano Esportiva Fitness Slim Fit,129.0,51.0,vendedor não identificado,4.5,171.0,False,False,True,False,78.0,60.5
SKECHERS,Tênis Feminino Skechers Vapor Foam,499.0,379.0,Por Mercado Livre ,,,True,True,False,False,120.0,24.0
OLYMPIKUS,Tênis Diffuse 5 Masculino Olympikus,349.0,228.0,Por Mercado Livre ,4.8,956.0,True,True,False,False,121.0,34.7
ADIDAS,Chuteira F50 League Futsal Infantil adidas,549.0,313.0,Por adidas ,,,True,True,False,False,236.0,43.0
ATUAL METAIS,Ducha Higiênica Completa Preto Fosco Quadrada Em Metal,78.0,50.0,Por Atual Metais ,4.4,184.0,False,True,False,False,28.0,35.9
START,Regulador De Pressão Para Cilindro De Oxigênio Ro200 Start,166.0,99.0,Por Ismafer Ferramentas ,4.5,70.0,False,False,True,False,67.0,40.4
ARTE DECOR SUBLIMAÇÃO,"Capas Cilindro + Painel 1,50 Temas Comemorativos Tecido",150.0,127.0,vendedor não identificado,4.8,102.0,True,True,False,False,23.0,15.3
ADIDAS,Mala Masculina E Feminina Duffel Essentials Pp Ip9861 Preto E Branco adidas,249.0,238.0,Por adidas ,5.0,1.0,False,True,True,False,11.0,4.4
